active,brand,category,intent,question_examples,answer,priority,source_id,updated_at,audience,answer_mode,risk_level,learning_tags,profile_slots,escalation_policy
True,ZeO,faq,shop_opening_hours,Shop mở cửa lúc mấy giờ?;Giờ làm việc của shop thế nào?;Shop bán hàng từ mấy giờ đến mấy giờ?;Hôm nay shop có mở cửa không?;Shop làm việc đến mấy giờ?;may gio mo cua;shop mo cua luc nao;gio hoat dong cua shop;thoi gian mo cua,Dạ shop mở cửa từ 8:00 đến 21:00 mỗi ngày nha bạn.,90,zeo_auto_reply_docx_v1,2026-08-17 00:00:00,customer,direct,low,faq,,
True,ZeO,shipping,nationwide_shipping_no_cod,Shop có giao hàng không?;ZeO có ship toàn quốc không?;Shop giao hàng qua đơn vị nào?;Có giao hàng tận nơi không?;Shop có hỗ trợ COD không?;Tôi có được thanh toán khi nhận hàng không?;ship tiep don cu sao shop;khach cu dat lai co ship khong;ship ve khu vuc minh duoc k;minh o binh duong ship sao;co ship cod khong;co giao hang khong;giao hang the nao,"Dạ ZeO có giao hàng toàn quốc qua các đối tác như GHTK, J&T, v.v. Tuy nhiên bên mình không hỗ trợ hình thức COD nha bạn.",100,zeo_auto_reply_docx_v1,2026-08-17 00:00:00,customer,rewrite,low,faq|shipping|returning_customer,,
True,ZeO,sales,online_purchase,Tôi muốn mua hàng thì làm sao?;Mua sản phẩm ZeO online ở đâu?;Cho mình xin link cửa hàng chính thức;Đặt hàng trực tuyến như thế nào?;Mua hàng qua hotline được không?;Shop gửi mình đường dẫn mua hàng nhé;mua tiep nhu lan truoc duoc k;khach cu muon dat lai;dat them san pham zeo;mua lai don cu;minh da co sdt trong he thong roi;co link shopee ko;co link shopee khong;cho minh link shopee;tôi muốn mua sản phẩm PANO;toi muon mua san pham pano;mua PANO ở đâu;mua pano o dau;làm sao để mua bây giờ;lam sao de mua bay gio;muon mua hang,"Dạ, để mua hàng trực tuyến bạn vui lòng truy cập link cửa hàng chính thức của ZeO Vietnam: https://zeo.vn/. Hoặc bạn có thể liên hệ hotline 1900 5307 để được hỗ trợ đặt hàng nha.",100,zeo_auto_reply_docx_v1,2026-08-17 00:00:00,customer,direct,low,faq|sales|lead_capture|customer_profile|returning_customer,phone|area,
True,ZeO/PANO/Oplus,sales,order_request,Tôi muốn 2kg nước giặt và 2 chai thuốc tẩy;toi muon 2kg nuoc giat va 2 chai thuoc tay;cho mình đặt 1 can nước lau sàn;dat 2 chai nuoc rua chen;lay 3 tui bot giat;minh mua 2 chai tay toilet;shop cho 2 chai javen;toi muon mua 2kg nuoc giat;cho minh dat hang;minh muon mua hang nay,"Dạ ZeO đã ghi nhận nhu cầu đặt sản phẩm của bạn. Bạn gửi thêm số điện thoại và khu vực/tỉnh thành để admin kiểm tra đúng sản phẩm, quy cách và hỗ trợ chốt đơn sớm nhất nha.",98,zeo_runtime_regression_v1,2026-08-17 00:00:00,customer,direct,medium,faq|sales|order_capture|lead_capture|customer_profile,phone|area,if_profile_has_phone_and_area_route_review_order_contact_ready
True,ZeO/PANO/Oplus,sales,wholesale_inquiry,Tôi muốn nhập hàng thì làm sao?;Làm sao để đăng ký làm đại lý?;Tôi muốn lấy sỉ sản phẩm;Muốn kinh doanh ZeO thì liên hệ ai?;Cho mình thông tin nhà phân phối;Tôi muốn hợp tác phân phối sản phẩm;toi muon lam dai ly zeo;minh muon lay si tiep;khach cu muon nhap hang lai;da co sdt roi minh o binh duong;sdt minh da gui truoc do;lay si o khu vuc minh duoc khong;toi muon lam dai li;muon lam dai li;dang ky dai li duoc khong;muon nhap hang,"Dạ bạn vui lòng để lại số điện thoại và khu vực muốn kinh doanh, admin sẽ gửi đến nhà phân phối hoặc nhân viên khu vực liên hệ bạn sớm nhất ạ.",95,zeo_auto_reply_docx_v1,2026-08-17 00:00:00,customer,direct,low,faq|sales|lead_capture|customer_profile|returning_customer,phone|area|need,if_profile_has_phone_and_area_route_review_lead_contact_ready
True,ZeO/PANO/Oplus,support,general_support_request,Cần hỗ trợ;Admin hỗ trợ mình với;Shop ơi giúp mình;Tôi có thắc mắc cần giải đáp;Cần gặp nhân viên tư vấn;ho tro tiep don cu giup;minh da gui sdt roi admin alo giup;khach cu can ho tro tiep;admin goi lai giup minh;can ho tro;can tro giup;giup minh voi,Dạ bạn cần admin hỗ trợ gì về sản phẩm hay dịch vụ ạ?,90,zeo_auto_reply_docx_v1,2026-08-17 00:00:00,customer,direct,low,support|general|returning_customer,,
True,ZeO/PANO/Oplus,support,product_consultation_request,Cần tư vấn;Tư vấn giúp mình;Shop tư vấn sản phẩm với;Mình muốn được tư vấn;Nhờ shop chọn giúp sản phẩm phù hợp;toi muon duoc tu van;tu van giup minh loai nuoc giat;can tu van,Dạ admin sẵn sàng ạ. Bạn cần tư vấn về sản phẩm nào ạ?,90,zeo_auto_reply_docx_v1,2026-08-17 00:00:00,customer,direct,low,support|consultation,,
True,ZeO/PANO/Oplus,faq,company_address,Địa chỉ ở đâu?;Công ty ở đâu vậy shop?;Shop có địa chỉ ở Cần Thơ không?;Cho mình xin địa chỉ công ty;Nhà máy nằm ở khu vực nào?;dia chi cong ty cho khach cu;toi da mua roi muon ghe cong ty;cong ty o tra noc phai khong;dia chi o dau;cty o dau;dia chi o dau vay,"Dạ, địa chỉ Công ty ở: Trục chính KCN Trà Nóc 1, phường Thới An Đông, thành phố Cần Thơ ạ.",90,zeo_auto_reply_docx_v1,2026-08-17 00:00:00,customer,direct,low,faq|address|company|returning_customer,,
True,ZeO/PANO/Oplus,policy,return_policy_scope,Chính sách đổi trả áp dụng cho những sản phẩm nào?;Mua ở đại lý có được đổi trả không?;Mua trên TikTok Shop có đổi trả được không?;Mua trên Shopee có được đổi trả không?;Hàng mua trực tiếp từ công ty có đổi được không?,"Chính sách đổi trả áp dụng cho tất cả sản phẩm thuộc các thương hiệu PANO, ZeO và Oplus được phân phối và bán lẻ qua cửa hàng đại lý, sàn thương mại điện tử (TikTok Shop, Shopee, Tiki) và kênh phân phối trực tiếp của Công ty.",85,zeo_customer_policy_docx_v1,2026-08-17 00:00:00,customer,direct,low,policy|return_scope,,
True,ZeO/PANO/Oplus,policy,return_eligible_cases,Những trường hợp nào được đổi trả hàng?;Sản phẩm bị rò rỉ có được đổi không?;Giao sai mùi hương có được đổi không?;Hàng bị thủng bao bì có được đổi không?;Sản phẩm hết hạn sử dụng có được trả không?;Hàng bị vỡ khi vận chuyển có được đổi không?,"Hàng được chấp nhận đổi trả khi: sản phẩm bị lỗi sản xuất (rò rỉ, nắp hỏng, bao bì thủng, nhãn mác bong tróc do lỗi nhà máy); sản phẩm không đúng chủng loại so với đơn đặt hàng (sai SKU, sai mùi hương, sai trọng lượng); sản phẩm hết hạn sử dụng tại thời điểm giao; hàng hư hỏng trong quá trình vận chuyển có biên bản xác nhận của tài xế; hoặc số lượng thực tế không khớp với hóa đơn/phiếu giao hàng.",95,zeo_customer_policy_docx_v1,2026-08-17 00:00:00,customer,direct,low,policy|return_conditions,,
