active,brand,category,intent,question_examples,answer,priority,source_id,updated_at,audience,answer_mode,risk_level,learning_tags,profile_slots,escalation_policy
TRUE,CFC,faq,opening_hours,Shop mở cửa lúc mấy giờ?;Giờ làm việc của CFC Cò Bay?;Shop bán từ mấy giờ?;Hôm nay công ty có làm việc không?;may gio mo cua;shop mo cua luc nao;gio lam viec cfc;thoi gian mo cua co bay,Dạ shop Cò Bay mở cửa từ 8:00 đến 21:00 mỗi ngày nha bạn.,90,cfc_reply_docx_v1,2026-08-17,customer,direct,low,faq|hours,,
TRUE,CFC,product,product_lines,Có những loại phân bón nào?;Cò Bay có những loại phân nào?;Danh mục phân bón CFC gồm những gì?;Công ty có phân bón gì?;co nhung loai phan bon nao;co nhung loai phan nao;cac loai phan bon co bay;danh muc phan bon;Tôi muốn xem về phân bón Cò Bay;Muốn xem các dòng phân bón;Cho mình xem danh mục phân bón;Tìm hiểu sản phẩm phân bón CFC;Thông tin các loại phân Cò Bay;toi muon xem ve phan bon co bay;muon xem cac dong phan bon;tim hieu san pham phan bon cfc,"Dạ chào bạn, Cò Bay hiện có các dòng phân bón như NPK, Hữu cơ,... Bạn đang cần tư vấn cho loại cây trồng nào để bên mình hỗ trợ phù hợp hơn ạ?",100,cfc_reply_docx_v1,2026-08-17,customer,direct,low,faq|product|fertilizer_lines,,
TRUE,CFC,shipping,shipping_methods,Có giao hàng không?;Có ship không?;Nhận hàng bằng cách nào?;Giao hàng như thế nào?;Có giao tận nơi không?;van chuyen tiep don cu sao shop;khach cu mua lai giao sao;ship ve khu vuc minh duoc k;nhan tai nha phan phoi gan minh duoc khong;co giao hang khong;giao hang the nao,"Dạ có, chúng tôi hiện tại giao hàng thông qua 02 hình thức chính là nhận trực tiếp tại Công ty hoặc nhận tại nhà phân phối gần bạn nhất nhé ạ.",100,cfc_reply_docx_v1,2026-08-17,customer,direct,low,faq|shipping|returning_customer,,
TRUE,CFC,sales,buy_online,Muốn mua hàng;Mua ở đâu?;Có link sản phẩm không?;Mua phân bón Cò Bay ở đâu?;Đặt hàng như thế nào?;mua tiep nhu lan truoc duoc k;khach cu muon mua lai;dat them phan bon co bay;mua o khu vuc minh sao;minh da co sdt trong he thong roi;muon mua hang;dat mua phan bon;link mua hang cfc,"Dạ, để mua hàng trực tuyến bạn vui lòng truy cập link thông tin các sản phẩm tại: cfccobay.com hoặc để lại số điện thoại + khu vực bạn cần admin sẽ cho nhân viên liên hệ sớm nhất nhé.",100,cfc_reply_docx_v1,2026-08-17,customer,direct,low,faq|sales|lead_capture|customer_profile|returning_customer,phone|area,if_human_help_and_profile_has_phone_and_area_route_review
TRUE,CFC,wholesale,wholesale_dealer,Muốn nhập hàng;Muốn làm đại lý;Muốn phân phối sản phẩm;Muốn kinh doanh phân bón;Làm nhà phân phối được không?;toi muon lam dai ly co bay;khach cu muon nhap phan bon lai;da co sdt roi minh o can tho;sdt minh da gui truoc do;nhap si phan bon o khu vuc minh;Muốn lấy sỉ phân bón Cò Bay;Chính sách làm đại lý CFC thế nào;Tôi muốn nhập số lượng lớn;muon lay si phan bon co bay;chinh sach lam dai ly cfc the nao;toi muon nhap so luong lon;muon nhap hang;lam dai ly,"Bạn vui lòng để lại số điện thoại và khu vực muốn kinh doanh, admin sẽ gửi đến nhà phân phối hoặc nhân viên khu vực liên hệ bạn sớm nhất ạ.",95,cfc_reply_docx_v1,2026-08-17,customer,direct,medium,faq|wholesale|lead_capture|customer_profile|returning_customer|admin_review_if_uncertain,phone|area|need,if_profile_has_phone_and_area_route_review_lead_contact_ready
TRUE,CFC,support,support_general,Cần hỗ trợ;Hỗ trợ giúp mình;Muốn gặp admin;Cần tư vấn thêm;Có người hỗ trợ không?;toi can nhan vien tu van;minh da gui sdt roi ho tro tiep giup;khach cu can ho tro tiep;admin goi lai giup minh;can ho tro;giup minh voi,Dạ bạn cần admin hỗ trợ gì về sản phẩm hay dịch vụ ạ?,90,cfc_reply_docx_v1,2026-08-17,customer,direct,low,support|general|returning_customer,,
TRUE,CFC,operations,address,Địa chỉ ở đâu?;Công ty ở đâu?;Cò Bay ở đâu?;Địa chỉ công ty CFC;Nhà máy ở đâu?;dia chi cong ty cho khach cu;toi da mua roi muon ghe cong ty;cong ty o tra noc phai khong;cty ban o dau;cty ban o dua;dung roi cty ban o dau;dia chi o dau,"Dạ, địa chỉ Công ty ở: Trục chính KCN Trà Nóc 1, phường Thới An Đông, thành phố Cần Thơ ạ.",90,cfc_reply_docx_v1,2026-08-17,customer,direct,low,faq|address|company|returning_customer,,
TRUE,CFC,company,company_overview,Giới thiệu về công ty bạn đi;Công ty bạn là công ty gì?;CFC Cò Bay là gì?;Cò Bay làm về gì?;Thông tin về CFC Cò Bay;gioi thieu ve cong ty ban di;cong ty ban lam gi;cty ban la gi,"Dạ, Cò Bay là thương hiệu phân bón thuộc Công ty Cổ phần Phân bón và Hóa chất Cần Thơ (thành lập năm 1977, hơn 45 năm kinh nghiệm), hiện cung cấp các dòng phân bón như NPK và phân Hữu cơ. Địa chỉ Công ty ở: Trục chính KCN Trà Nóc 1, phường Thới An Đông, thành phố Cần Thơ ạ.",85,cfc_reply_docx_v1,2026-08-17,customer,direct,low,company|overview,,
TRUE,CFC,product,cfc_npk_product_info,Cò Bay có NPK không?;Bên mình có phân NPK không?;NPK Cò Bay là gì?;Có dòng NPK cho cây trồng không?;Phân NPK CFC có không?;co npk khong;co phan npk khong;npk co bay la gi;phan npk cfc co khong;Tôi muốn xem về NPK;Muốn tìm hiểu phân NPK;Cho mình xem dòng NPK;Tư vấn NPK Cò Bay;toi muon xem ve npk;tim hieu phan npk,Dạ Cò Bay hiện có dòng phân bón NPK chất lượng cao nha bạn. Bạn đang cần tư vấn cho cây trồng nào và khu vực nào để kỹ sư Cò Bay hỗ trợ phù hợp hơn ạ?,95,cfc_faq_split_v1,2026-08-17,customer,direct,low,product|npk,,
TRUE,CFC,product,cfc_organic_fertilizer_info,Cò Bay có phân hữu cơ không?;Có phân bón hữu cơ sinh học không?;Phân hữu cơ Cò Bay là gì?;Bên mình có hữu cơ không?;co phan huu co khong;co phan bon huu co sinh hoc khong;phan huu co co bay la gi;Tôi muốn xem về phân hữu cơ;Muốn tìm hiểu hữu cơ Cò Bay;Cho mình xem dòng phân hữu cơ;Tư vấn phân hữu cơ;toi muon xem ve phan huu co;tim hieu huu co co bay,Dạ Cò Bay hiện có dòng phân bón Hữu cơ nha bạn. Bạn cho mình biết loại cây trồng và khu vực để bên mình tư vấn cách chọn sản phẩm phù hợp hơn ạ.,95,cfc_faq_split_v1,2026-08-17,customer,direct,low,product|organic,,
